NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 174 IPTER    43.33 11 2019 11 2019                                                                                                                                                                     
 174 IPTER     0.00 12 2019 12 2019                                                                                                                                                                     
 174 IPTER    32.26  1 2020  1 2020                                                                                                                                                                     
 174 IPTER     0.00  2 2020  2 2020                                                                                                                                                                     
 174 IPTER    19.35  3 2020  3 2020                                                                                                                                                                     
 174 IPTER     0.00  4 2020  9 2020                                                                                                                                                                     
 174 IPTER    19.35 10 2020 10 2020                                                                                                                                                                     
 174 IPTER     0.00 11 2020  5 2021                                                                                                                                                                     
 174 IPTER   100.00  6 2021  7 2021                                                                                                                                                                     
 174 IPTER     0.00  8 2021  8 2021                                                                                                                                                                     
 174 IPTER   100.00  9 2021  9 2021                                                                                                                                                                     
 174 IPTER     0.00 10 2021                                                                                                                                                                             
 229 POTEF    50.00  1 2018          ONCA PINTADA                                                                                                                                                       
 229 GTMIN     6.86  1 2018                                                                                                                                                                             
 182 POTEF   175.56 10 2017          PALMEIRAS GO                                                                                                                                                       
  50 POTEF   200.00 10 2017          PIRAT.12 G                                                                                                                                                         
  50 FCMAX     0.00 10 2017                                                                                                                                                                             
 230 POTEF     5.00  1 2018          PREDILECTA                                                                                                                                                         
 230 GTMIN     1.00  1 2018                                                                                                                                                                             
   9 POTEF    25.00 10 2017          R.SILVEIRA                                                                                                                                                         
   9 FCMAX     0.00 10 2017                                                                                                                                                                             
  62 POTEF   385.90 10 2017          SEROPEDICA                                                                                                                                                         
  62 GTMIN    50.54 10 2017 10 2017                                                                                                                                                                     
  62 GTMIN    48.61 11 2017 11 2017                                                                                                                                                                     
  62 GTMIN    76.41 12 2017 12 2017                                                                                                                                                                     
  62 GTMIN    71.18  1 2018  1 2018                                                                                                                                                                     
  62 GTMIN    73.89  2 2018  2 2018                                                                                                                                                                     
  62 GTMIN    79.04  3 2018  3 2018                                                                                                                                                                     
  62 GTMIN    97.84 10 2018 10 2018                                                                                                                                                                     
  62 GTMIN    97.22 11 2018 11 2018                                                                                                                                                                     
   4 POTEF   436.00 10 2017          ST.CRUZ 34                                                                                                                                                         
   4 FCMAX     0.00 10 2017                                                                                                                                                                             
  86 POTEF   500.00 10 2017          ST.CRUZ NOVA                                                                                                                                                       
  86 FCMAX    70.00 10 2017  7 2018                                                                                                                                                                     
  86 FCMAX   100.00  8 2018                                                                                                                                                                             
  86 IPTER     0.00  1 2018  3 2018                                                                                                                                                                     
  86 IPTER    35.00  4 2018  4 2018                                                                                                                                                                     
  86 IPTER    54.19  5 2018  5 2018                                                                                                                                                                     
  86 IPTER    65.33  6 2018  6 2018                                                                                                                                                                     
  86 IPTER    65.48  7 2018  7 2018                                                                                                                                                                     
  86 IPTER     0.00  8 2018 12 2018                                                                                                                                                                     
 146 POTEF    41.40 10 2017          STA VITORIA                                                                                                                                                        
 146 FCMAX    92.03 10 2017                                                                                                                                                                             
 146 IPTER   100.00  1 2018  2 2018                                                                                                                                                                     
 146 IPTER     0.00  3 2018 12 2018                                                                                                                                                                     
 146 IPTER   100.00  1 2019  2 2019                                                                                                                                                                     
 146 IPTER     0.00  3 2019 12 2019                                                                                                                                                                     
 146 IPTER   100.00  1 2020  2 2020                                                                                                                                                                     
 146 IPTER     0.00  3 2020 12 2020                                                                                                                                                                     
 146 IPTER   100.00  1 2021  2 2021                                                                                                                                                                     
 146 IPTER     0.00  3 2021                                                                                                                                                                             
 194 POTEF   340.00 10 2017          T.NORTE 2                                                                                                                                                          
 194 FCMAX     0.00 10 2017                                                                                                                                                                             
 223 POTEF    50.00  1 2021          TERMOIRAPE I                                                                                                                                                       
  90 POTEF   928.70 10 2017          TERMOMACAE                                                                                                                                                         
  47 POTEF  1036.00 10 2017          TERMORIO                                                                                                                                                           
  47 GTMIN   126.35 10 2017 10 2017                                                                                                                                                                     
  47 GTMIN   121.53 11 2017 11 2017                                                                                                                                                                     
  47 GTMIN   127.35 12 2017 12 2017                                                                                                                                                                     
  47 GTMIN   142.35  1 2018  1 2018                                                                                                                                                                     
  47 GTMIN   147.78  2 2018  2 2018                                                                                                                                                                     
  47 GTMIN   158.07  3 2018  3 2018                                                                                                                                                                     
  47 GTMIN   100.50  4 2018  9 2018                                                                                                                                                                     
  47 GTMIN   146.76 10 2018 10 2018                                                                                                                                                                     
  47 GTMIN   145.83 11 2018 11 2018                                                                                                                                                                     
  47 GTMIN   105.38 12 2018 12 2018                                                                                                                                                                     
  47 GTMIN   100.50  1 2019  1 2019                                                                                                                                                                     
  47 GTMIN   102.38  2 2019  2 2019                                                                                                                                                                     
  47 GTMIN   101.88  3 2019  3 2019                                                                                                                                                                     
  47 GTMIN   100.50  4 2019 11 2019                                                                                                                                                                     
  47 GTMIN   101.88 12 2019  1 2020                                                                                                                                                                     
  47 GTMIN   100.50  2 2020  2 2020                                                                                                                                                                     
  47 GTMIN   105.38  3 2020  3 2020                                                                                                                                                                     
  47 GTMIN   100.50  4 2020  9 2020                                                                                                                                                                     
  47 GTMIN   101.08 10 2020 10 2020                                                                                                                                                                     
  47 GTMIN   100.50 11 2020 12 2020                                                                                                                                                                     
  47 GTMIN   101.88  1 2021  1 2021                                                                                                                                                                     
  47 GTMIN   100.50  2 2021  9 2021                                                                                                                                                                     
  47 GTMIN   107.52 10 2021 10 2021                                                                                                                                                                     
  47 GTMIN   100.50 11 2021                                                                                                                                                                             
  49 POTEF   174.60 10 2017          VIANA                                                                                                                                                              
 108 POTEF    53.58 10 2017          XAVANTES                                                                                                                                                           
  48 POTEF   484.15 10 2017          ARAUCARIA                                                                                                                                                          
  48 FCMAX    20.29 10 2017 10 2017                                                                                                                                                                     
  48 FCMAX     0.00 11 2017                                                                                                                                                                             
 237 POTEF    50.00  1 2020          CAMBARA                                                                                                                                                            
 237 GTMIN    20.00  1 2020                                                                                                                                                                             
 156 POTEF   350.00 10 2017          CANDIOTA 3                                                                                                                                                         
 156 GTMIN   210.00 11 2017  5 2018                                                                                                                                                                     
 156 IPTER     0.00  1 2018  5 2018                                                                                                                                                                     
 156 GTMIN   210.00  7 2018  5 2019                                                                                                                                                                     
 156 IPTER   100.00  6 2018  6 2018                                                                                                                                                                     
 156 IPTER     0.00  7 2018  5 2019                                                                                                                                                                     
 156 GTMIN   210.00  7 2019  5 2020                                                                                                                                                                     
 156 IPTER   100.00  6 2019  6 2019                                                                                                                                                                     
 156 IPTER     0.00  7 2019  5 2020                                                                                                                                                                     
 156 GTMIN   210.00  7 2020  5 2021                                                                                                                                                                     
 156 IPTER   100.00  6 2020  6 2020                                                                                                                                                                     
 156 IPTER     0.00  7 2020  5 2021                                                                                                                                                                     
 156 GTMIN   210.00  7 2021                                                                                                                                                                             
 156 IPTER   100.00  6 2021  6 2021                                                                                                                                                                     
 156 IPTER     0.00  7 2021                                                                                                                                                                             
  64 POTEF   248.57 10 2017          CANOAS                                                                                                                                                             
  28 POTEF    20.00 10 2017          FIGUEIRA                                                                                                                                                           
  28 FCMAX    90.00 10 2017                                                                                                                                                                             
  28 IPTER   100.00  1 2018  5 2018                                                                                                                                                                     
  28 IPTER     0.00  6 2018 12 2018                                                                                                                                                                     
  28 IPTER    74.19  1 2019  1 2019                                                                                                                                                                     
  28 IPTER     0.00  2 2019 12 2019                                                                                                                                                                     
  28 IPTER    74.19  1 2020  1 2020                                                                                                                                                                     
